State,County,Democratic,Republican,Party
MA,dukes,18605,19573,0
MT,richland,0,15238,0
TX,trinity,0,3471,0
TN,clay,0,0,NaN
NE,howard,0,3762,0
WV,putnam,27665,29595,0
WY,laramie,48741,45321,1
VT,lamoille,16698,12176,1
WI,green,14742,20206,0
TX,childress,0,2469,0
MA,hampden,257373,162767,1
FL,hardee,0,7127,0
OH,allen,47918,41068,1
NM,colfax,2607,3277,0
NV,pershing,0,0,NaN
WI,vilas,13779,7147,1
TX,gillespie,19307,17292,1
WV,cabell,48716,38903,1
TX,cameron,216912,132669,1
MI,clare,4341,14840,0
UT,davis,179698,127762,1
NY,dutchess,168216,113494,1
TX,motley,0,0,NaN
VA,henrico,190165,115108,1
MN,grant,0,5051,0
VA,rappahannock,8837,5122,1
NM,taos,18751,7431,1
TX,smith,117305,74590,1
MN,yellow medicine,0,6739,0
MN,pipestone,0,8316,0
TX,somervell,0,1167,0
IN,benton,0,3057,0
WV,hampshire,289,4343,0
PA,columbia,28009,29666,0
TX,ector,66911,56040,1
MD,howard,195279,130569,1
TN,jefferson,18503,22756,0
VA,manassas city,19205,27719,0
MN,scott,80468,70461,1
PA,northampton,166039,113349,1
TN,fentress,0,3430,0
TN,dyer,12354,16467,0
WI,burnett,3651,4389,0
NJ,monmouth,361049,230152,1
IN,brown,5574,10081,0
TX,chambers,11253,23818,0
VA,roanoke city,52450,34634,1
NY,putnam,61811,61105,1
NM,san juan,52796,43801,1
WY,crook,0,7989,0
MI,ingham,158871,103018,1
TN,obion,8393,13456,0
PA,franklin,77286,60357,1
MT,lake,10789,8655,1
UT,cache,57719,51016,1
OH,fayette,3187,15095,0
VA,accomack,14959,0,1
FL,pasco,269542,169057,1
NY,nassau,770315,468660,1
ND,towner,0,2701,0
IN,kosciusko,33895,34795,0
NE,colfax,0,6050,0
TX,frio,0,0,NaN
MT,madison,6102,3569,1
WA,island,45749,38659,1
TX,andrews,0,15303,0
TN,hardin,2829,13378,0
NE,dundy,0,0,NaN
VA,chesapeake city,131755,87624,1
NE,hayes,0,0,NaN
TX,parmer,0,0,NaN
NE,buffalo,22526,26279,0
PA,carbon,27074,30821,0
NJ,atlantic,150647,100797,1
TX,kimble,0,4543,0
NE,seward,3082,16103,0
OH,lake,126491,90775,1
TX,tom green,54324,41533,1
TX,mason,0,0,NaN
NV,humboldt,0,17874,0
IN,noble,11761,20887,0
WI,dunn,16138,22757,0
NY,lewis,2757,14127,0
IN,orange,0,6771,0
TN,crockett,0,1928,0
MT,beaverhead,3788,8969,0
MN,le sueur,7535,19020,0
MI,berrien,85197,56456,1
NY,otsego,30101,26831,1
TX,matagorda,7289,9235,0
OH,marion,23416,29087,0
WI,washburn,5406,7475,0
TN,cocke,5810,12934,0
TX,orange,34144,35551,0
MT,yellowstone,83568,63046,1
MD,carroll,95301,76674,1
UT,wayne,0,0,NaN
WY,park,16747,21763,0
PA,pike,29883,29015,1
MI,lenawee,46492,39782,1
NJ,burlington,257791,167244,1
WI,iowa,7428,14388,0
PA,huntingdon,14624,18747,0
PA,berks,225172,146886,1
IN,knox,7250,19119,0
ND,ramsey,0,9663,0
WA,klickitat,8485,12121,0
TX,howard,4977,16425,0
MD,queen anne's,31333,34768,0
VA,buckingham,1816,0,1
VA,rockingham,38251,33706,1
IN,henry,16655,24594,0
CT,litchfield,107931,79277,1
PA,erie,151943,100921,1
NY,albany,177725,114155,1
PA,bucks,356963,227380,1
WI,buffalo,0,6168,0
PA,mckean,14145,19395,0
NJ,cape may,55671,48482,1
TN,haywood,3117,0,1
PA,fulton,0,6640,0
TX,jim wells,3213,8004,0
TX,lee,135,6247,0
TX,williamson,278449,177007,1
TN,knox,252938,157577,1
IN,putnam,7271,18926,0
OH,noble,0,7057,0
WY,big horn,0,3636,0
MI,ionia,23217,27931,0
IN,daviess,707,15763,0
VA,cumberland,0,0,NaN
ME,waldo,22262,16895,1
TN,scott,0,10340,0
NE,stanton,0,8285,0
MN,sherburne,44269,47603,0
NE,boyd,0,0,NaN
NY,orleans,13087,19049,0
WI,vernon,8641,12690,0
WI,oconto,12102,17502,0
VA,louisa,16104,12075,1
ME,aroostook,31527,23239,1
FL,sumter,76135,48026,1
TX,newton,0,719,0
MN,cook,14087,3048,1
TX,brooks,0,0,NaN
WY,hot springs,93,9536,0
MI,kalkaska,0,9076,0
FL,levy,10747,9746,1
WV,harrison,32053,31734,1
PA,butler,105815,75550,1
WI,price,2025,2944,0
WI,shawano,12695,16028,0
TN,carter,21993,22656,0
NY,genesee,25885,26437,0
MT,missoula,67044,49908,1
NY,jefferson,52814,47090,1
MN,itasca,20294,19542,1
ND,williams,5327,30724,0
WY,sheridan,16062,20507,0
NE,garden,0,391,0
TX,coleman,0,4772,0
ND,ward,28250,35105,0
OH,wood,67960,55510,1
WV,wirt,0,0,NaN
NE,box butte,0,13259,0
NM,los alamos,35278,37974,0
NY,bronx,795919,462082,1
NM,sierra,2366,5405,0
FL,palm beach,790111,464458,1
TX,haskell,0,4937,0
MI,midland,47085,40465,1
NE,blaine,0,438,0
VA,bedford,42966,30453,1
OH,paulding,0,9208,0
UT,millard,0,8073,0
NJ,essex,449264,263305,1
TN,humphreys,0,7568,0
UT,washington,78082,62754,1
TX,briscoe,0,0,NaN
TX,wise,22174,25812,0
FL,volusia,283199,173188,1
PA,schuylkill,71885,56612,1
TX,willacy,0,1118,0
CT,new london,152958,105072,1
TX,kinney,0,4446,0
NE,saline,0,6743,0
MI,tuscola,18098,20926,0
ND,slope,3914,1521,1
TX,val verde,10504,16184,0
WI,fond du lac,49936,44326,1
VA,powhatan,17444,17982,0
ND,richland,0,14065,0
VA,york,45937,44675,1
MN,dodge,3142,19883,0
TX,dickens,0,0,NaN
FL,jefferson,7957,0,1
TX,titus,2182,8344,0
MN,lyon,7287,15683,0
TX,hall,0,0,NaN
IN,spencer,198,10497,0
WI,marquette,0,6431,0
MI,allegan,55080,43973,1
ME,kennebec,64201,47196,1
TX,hidalgo,445212,265704,1
MD,montgomery,596012,358615,1
OH,wyandot,9,14567,0
UT,summit,34183,37161,0
UT,rich,0,3312,0
VA,clarke,8779,17189,0
NE,kearney,0,10549,0
PA,mifflin,12324,19756,0
MI,charlevoix,14516,16252,0
TX,walker,29888,17423,1
NE,thurston,0,0,NaN
ND,traill,174,5192,0
IN,clinton,3800,17062,0
ME,sagadahoc,23268,21521,1
AZ,greenlee,0,6376,0
OH,meigs,631,12324,0
VA,hanover,61899,51461,1
MT,chouteau,0,0,NaN
WI,sauk,28523,29706,0
ND,mchenry,0,5997,0
TX,concho,0,0,NaN
MN,todd,1448,10145,0
WV,mingo,0,12335,0
MN,winona,21732,28347,0
VA,rockbridge,11312,10911,1
NY,rensselaer,87480,66224,1
MI,isabella,27059,30919,0
TX,wharton,10015,10108,0
MD,harford,143113,101437,1
OH,van wert,5222,17497,0
TX,madison,0,0,NaN
TN,anderson,38100,33257,1
NM,lincoln,12717,7709,1
NJ,morris,294338,193429,1
ND,oliver,0,5328,0
NE,wayne,1594,12397,0
WA,asotin,5605,21002,0
WY,teton,28749,24122,1
TX,erath,12565,15969,0
VT,grand isle,9001,11482,0
OH,morrow,5892,15544,0
MN,kittson,0,2456,0
NE,holt,0,6717,0
VA,petersburg city,17425,0,1
WV,hancock,9805,17376,0
MN,redwood,0,7764,0
MN,hennepin,688937,409477,1
TX,hansford,0,0,NaN
NE,greeley,0,0,NaN
TX,rains,0,4829,0
MA,worcester,457620,281364,1
UT,weber,123226,92693,1
TX,delta,0,28,0
VA,waynesboro city,6239,14762,0
ME,piscataquis,2963,6358,0
MT,petroleum,0,0,NaN
WV,logan,4924,16682,0
TX,jefferson,134820,81253,1
VA,virginia beach city,253574,160122,1
IN,vermillion,0,10431,0
MA,berkshire,74786,55345,1
VA,prince edward,4762,2370,1
NE,sioux,57,0,1
TX,presidio,0,0,NaN
IN,jennings,0,15013,0
ND,sioux,0,0,NaN
NY,madison,35224,32584,1
NM,sandoval,74691,55858,1
TN,weakley,9168,14054,0
OH,montgomery,296333,181269,1
IN,miami,5624,19164,0
IN,newton,0,6707,0
NE,sherman,0,0,NaN
ND,stark,7654,28045,0
WV,pleasants,0,10366,0
TX,panola,1812,6383,0
WA,whitman,26293,25670,1
NM,hidalgo,0,0,NaN
TX,ochiltree,0,7370,0
WV,nicholas,4143,10208,0
ND,divide,0,4764,0
MT,garfield,0,0,NaN
VA,gloucester,16467,19735,0
VA,fauquier,40057,41197,0
OH,henry,3628,15590,0
TN,union,0,6324,0
NE,deuel,0,2276,0
TX,gregg,60383,43227,1
MI,kent,351591,215752,1
VA,fairfax city,29831,38669,0
IN,elkhart,100006,73936,1
NY,new york,938909,549391,1
VA,giles,0,9723,0
WI,polk,17017,19211,0
ND,bottineau,0,3877,0
WI,richland,544,8575,0
IN,wabash,7823,17961,0
OH,champaign,10307,20356,0
UT,emery,0,7396,0
MN,olmsted,90217,66476,1
MI,kalamazoo,144704,94935,1
MN,marshall,0,6345,0
TX,roberts,0,9807,0
TN,trousdale,0,2106,0
TX,kleberg,4419,11548,0
PA,blair,62327,50395,1
FL,hernando,91843,67559,1
WA,kitsap,142642,100538,1
OH,franklin,694518,409676,1
TX,cass,7846,7840,1
VT,chittenden,99593,70481,1
OH,butler,205307,136270,1
NE,franklin,0,643,0
MD,cecil,50315,47562,1
NY,yates,5747,15636,0
